Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Determining Gaps in Current Physiatric Tele-Physical Assessments via a Needs Assessment Survey","Current telemedicine technology is insufficient for effective musculoskeletal and neurological telemedicine-based physical assessments, despite high provider and patient engagement.","Keerthana Chakka, Richard Wu, S. Belko, Thiru Annaswamy",2023,1,"Objectives: Physical examinations are essential for in-person patient visits but remain difficult to replicate during virtual encounters. This work aims to identify gaps in the current state of telemedicine-based physical assessments by surveying physical medicine and rehabilitation physicians who perform physical examinations.

Design: A survey of 29 Likert-scale questions and five open-ended questions was distributed to practicing physical medicine and rehabilitation physicians. The Likert-scale questions covered remote physical assessment, access, perception/engagement, implementation/effectiveness, and administrative concerns.

Results: Fifty-three participants completed the survey. More than 80% of respondents suggested that while telemedicine was universally well accepted, they could not effectively perform telemedicine-based physical assessments, especially the musculoskeletal and neurological components. Remote assessment of upper and lower limb strength, reflexes, and sensation were examples of key unmet needs. Responses to open-ended questions suggested that telemedicine-based physical assessments can reduce the burden of travel and increase adherence to follow-up visits, but complex technology setup can pose difficulty for older patients and patients with cognitive deficits.

Conclusions: These findings suggest that current telemedicine technology is insufficient to meet physical medicine and rehabilitation physicians' telemedicine-based physical assessments needs. Despite high levels of provider and patient engagement with telemedicine, numerous deficits remain in performing musculoskeletal and neurological examinations. These results can inform future technology developments that address these identified telemedicine-based physical assessments gaps.

Copyright © 2023 Wolters Kluwer Health, Inc. All rights reserved.","cross-sectional study","American Journal of Physical Medicine & Rehabilitation","1","10.1097/phm.0000000000002175","https://consensus.app/papers/determining-gaps-in-current-physiatric-telephysical-chakka-wu/29cafd2f88e85da7a9470a11f2a103a1/"
"Applications and limitations of current markerless motion capture methods for clinical gait biomechanics","Markerless motion capture methods show potential for clinical biomechanics, but joint center locations and angles are not yet accurate enough for clinical applications.","Logan Wade, L. Needham, P. McGuigan, J. Bilzon",2022,298,"Background: Markerless motion capture has the potential to perform movement analysis with reduced data collection and processing time compared to marker-based methods. This technology is now starting to be applied for clinical and rehabilitation applications and therefore it is crucial that users of these systems understand both their potential and limitations. This literature review aims to provide a comprehensive overview of the current state of markerless motion capture for both single camera and multi-camera systems. Additionally, this review explores how practical applications of markerless technology are being used in clinical and rehabilitation settings, and examines the future challenges and directions markerless research must explore to facilitate full integration of this technology within clinical biomechanics.

Methodology: A scoping review is needed to examine this emerging broad body of literature and determine where gaps in knowledge exist, this is key to developing motion capture methods that are cost effective and practically relevant to clinicians, coaches and researchers around the world. Literature searches were performed to examine studies that report accuracy of markerless motion capture methods, explore current practical applications of markerless motion capture methods in clinical biomechanics and identify gaps in our knowledge that are relevant to future developments in this area.

Results: Markerless methods increase motion capture data versatility, enabling datasets to be re-analyzed using updated pose estimation algorithms and may even provide clinicians with the capability to collect data while patients are wearing normal clothing. While markerless temporospatial measures generally appear to be equivalent to marker-based motion capture, joint center locations and joint angles are not yet sufficiently accurate for clinical applications. Pose estimation algorithms are approaching similar error rates of marker-based motion capture, however, without comparison to a gold standard, such as bi-planar videoradiography, the true accuracy of markerless systems remains unknown.

Conclusions: Current open-source pose estimation algorithms were never designed for biomechanical applications, therefore, datasets on which they have been trained are inconsistently and inaccurately labelled. Improvements to labelling of open-source training data, as well as assessment of markerless accuracy against gold standard methods will be vital next steps in the development of this technology.

©2022 Wade et al.","literature review","PeerJ","1","10.7717/peerj.12995","https://consensus.app/papers/applications-and-limitations-of-current-markerless-wade-needham/99638d434aeb52bfb793fbcafd601174/"
"The State of Telemedicine, Telerehabilitation, and Virtual Care in Musculoskeletal Health: A Narrative Review","Telemedicine is a valuable tool for musculoskeletal health practitioners, offering high-quality, timely, and cost-effective care, despite limitations and patient preference for in-person visits.","Mitchell A. Johnson, Tyler K. Khilnani, Abigail Hyun, Troy B. Amen, Nathan H. Varady, Benedict U. Nwachukwu, Joshua S. Dines",2025,5,"Telemedicine has become an increasingly important component of musculoskeletal care, with recent advances in virtual physical examinations, enhanced patient education, and expanded access to treatment and telerehabilitation. Emerging applications of artificial intelligence, including virtual triaging and remote patient monitoring, promise to further augment telemedicine's effectiveness and scope. Despite limitations and a continued preference for in-person visits among some patients, telemedicine can be a valuable tool for musculoskeletal health practitioners, offering new ways to deliver high-quality, timely, and cost-effective care.

© The Author(s) 2025.","literature review","HSS Journal®","2","10.1177/15563316251341229","https://consensus.app/papers/the-state-of-telemedicine-telerehabilitation-and-virtual-johnson-khilnani/7c246c8b5ae25b18b1a00e20424f2a68/"
"The utility of physiotherapy assessments delivered by telehealth: A systematic review","Physiotherapy assessments using synchronous telehealth are valid and reliable for specific assessment types in limited populations, but further research is needed to strengthen their clinometric value across all practice areas.","Cherie Zischke, Vini Simas, Wayne Hing, N. Milne, A. Spittle, Rodney Pope",2021,46,"Background: Telehealth use is increasing due to its ability to overcome service access barriers and provide continued care when disease transmission is of concern. However, little is known of the validity, reliability and utility of performing physiotherapy assessments using synchronous forms of telehealth across all physiotherapy practice areas. The aim of this systematic review was to determine the current clinometric value of performing physiotherapy assessments using synchronous forms of telehealth across all areas of physiotherapy practice.

Methods: A comprehensive search of databases (PubMed/MEDLINE, The Cochrane Library, Embase and EBSCO) was undertaken to identify studies investigating the clinometric value of performing physiotherapy assessments using synchronous forms of telehealth across all physiotherapy practice areas. Following selection, a quality appraisal was conducted using the Brink and Louw or Mixed Methods Appraisal Tool. Evidence regarding validity, reliability and utility of synchronous telehealth physiotherapy assessments was extracted and synthesised using a critical narrative approach.

Results: Thirty-nine studies conducted in a variety of simulated (n = 15) or real-world telehealth environments (n = 24), were included. The quality of the validity, reliability and utility studies varied. Assessments including range of movement, muscle strength, endurance, pain, special orthopaedic tests (shoulder/elbow), Berg Balance Scale, timed up and go, timed stance test, six-minute walk test, steps in 360-degree turn, Movement Assessment Battery for Children (2nd Edition), step test, ABILHAND assessment, active straight leg raise, and circumferential measures of the upper limb were reported as valid/reliable in limited populations and settings (many with small sample sizes). Participants appeared to embrace telehealth technology use, with most studies reporting high levels of participant satisfaction. If given a choice, many reported a preference for in-person physiotherapy assessments. Some inconsistencies in visual/auditory quality and challenges with verbal/non-verbal communication methods were reported. Telehealth was considered relatively cost-effective once services were established.

Conclusions: Performing physiotherapy assessments using synchronous forms of telehealth appears valid and reliable for specific assessment types in limited populations. Further research is needed in all areas of physiotherapy practice, to strengthen the evidence surrounding its clinometric value. Clinicians contemplating using this assessment mode should consider the client/family preferences, assessment requirements, cultural needs, environment, cost considerations, access and confidence using technology.

Protocol registration: PROSPERO: CRD42018108166.

Copyright © 2021 by the Journal of Global Health. All rights reserved.","systematic review","Journal of Global Health","1","10.7189/jogh.11.04072","https://consensus.app/papers/the-utility-of-physiotherapy-assessments-delivered-by-zischke-simas/9d164ce4d37b5b03ae6c92e8f6eba165/"
"Healthcare applications of single camera markerless motion capture: a scoping review","Single camera markerless motion capture has potential for at-home movement assessment in neurological injury, hereditary/genetic neuromuscular disorders, frailty, and orthopedics, but currently lacks accuracy in detailed 3D kinematics.","Bradley Scott, D. Blana, E. Chadwick, F. Philp, M. Seyres",2022,67,"Background: Single camera markerless motion capture has the potential to facilitate at home movement assessment due to the ease of setup, portability, and affordable cost of the technology. However, it is not clear what the current healthcare applications of single camera markerless motion capture are and what information is being collected that may be used to inform clinical decision making. This review aims to map the available literature to highlight potential use cases and identify the limitations of the technology for clinicians and researchers interested in the collection of movement data.

Survey Methodology: Studies were collected up to 14 January 2022 using Pubmed, CINAHL and SPORTDiscus using a systematic search. Data recorded included the description of the markerless system, clinical outcome measures, and biomechanical data mapped to the International Classification of Functioning, Disability and Health Framework (ICF). Studies were grouped by patient population.

Results: A total of 50 studies were included for data collection. Use cases for single camera markerless motion capture technology were identified for Neurological Injury in Children and Adults; Hereditary/Genetic Neuromuscular Disorders; Frailty; and Orthopaedic or Musculoskeletal groups. Single camera markerless systems were found to perform well in studies involving single plane measurements, such as in the analysis of infant general movements or spatiotemporal parameters of gait, when evaluated against 3D marker-based systems and a variety of clinical outcome measures. However, they were less capable than marker-based systems in studies requiring the tracking of detailed 3D kinematics or fine movements such as finger tracking.

Conclusions: Single camera markerless motion capture offers great potential for extending the scope of movement analysis outside of laboratory settings in a practical way, but currently suffers from a lack of accuracy where detailed 3D kinematics are required for clinical decision making. Future work should therefore focus on improving tracking accuracy of movements that are out of plane relative to the camera orientation or affected by occlusion, such as supination and pronation of the forearm.

©2022 Scott et al.","systematic review","PeerJ","1","10.7717/peerj.13517","https://consensus.app/papers/healthcare-applications-of-single-camera-markerless-scott-blana/c74772b19a9a5852995bf30e78f0ffd9/"
"Accuracy, Validity, and Reliability of Markerless Camera-Based 3D Motion Capture Systems versus Marker-Based 3D Motion Capture Systems in Gait Analysis: A Systematic Review and Meta-Analysis","Markerless camera-based 3D motion capture systems (MCBS) show comparable accuracy, validity, and reliability to marker-based 3D motion capture systems in spatiotemporal parameters, but lack valid and accurate measurement outcomes in transverse and frontal planes.","Sofia Scataglini, Eveline Abts, Cas Van Bocxlaer, Maxime Van den Bussche, Sara Meletani, S. Truijen",2024,121,"(1) Background: Marker-based 3D motion capture systems (MBS) are considered the gold standard in gait analysis. However, they have limitations for which markerless camera-based 3D motion capture systems (MCBS) could provide a solution. The aim of this systematic review and meta-analysis is to compare the accuracy, validity, and reliability of MCBS and MBS. (2) Methods: A total of 2047 papers were systematically searched according to PRISMA guidelines on 7 February 2024, in two different databases: Pubmed (1339) and WoS (708). The COSMIN-tool and EBRO guidelines were used to assess risk of bias and level of evidence. (3) Results: After full text screening, 22 papers were included. Spatiotemporal parameters showed overall good to excellent accuracy, validity, and reliability. For kinematic variables, hip and knee showed moderate to excellent agreement between the systems, while for the ankle joint, poor concurrent validity and reliability were measured. The accuracy and concurrent validity of walking speed were considered excellent in all cases, with only a small bias. The meta-analysis of the inter-rater reliability and concurrent validity of walking speed, step time, and step length resulted in a good-to-excellent intraclass correlation coefficient (ICC) (0.81; 0.98). (4) Discussion and conclusions: MCBS are comparable in terms of accuracy, concurrent validity, and reliability to MBS in spatiotemporal parameters. Additionally, kinematic parameters for hip and knee in the sagittal plane are considered most valid and reliable but lack valid and accurate measurement outcomes in transverse and frontal planes. Customization and standardization of methodological procedures are necessary for future research to adequately compare protocols in clinical settings, with more attention to patient populations.","meta-analysis","Sensors (Basel, Switzerland)","1","10.3390/s24113686","https://consensus.app/papers/accuracy-validity-and-reliability-of-markerless-scataglini-abts/b2ea274d06605ac19019c898cf994898/"
"Technological advances in lower-limb tele-rehabilitation: A review of literature","Vision-based tele-rehabilitation systems show the most promise, but require more testing and comprehensive datasets for accurate assessment of lower limb exercises.","Alireza Ettefagh, A. Roshan Fekr",2024,13,"Tele-rehabilitation is a healthcare practice that leverages technology to provide rehabilitation services remotely to individuals in their own homes or other locations. With advancements in remote monitoring and Artificial Intelligence, automatic tele-rehabilitation systems that can measure joint angles, recognize exercises, and provide feedback based on movement analysis are being developed. Such platforms can offer valuable information to clinicians for improved care planning. However, with various methods and sensors being used, understanding their pros, cons, and performance is important. This paper reviews and compares the performance of recent vision-based, wearable, and pressure-sensing technologies used in lower limb tele-rehabilitation systems over the past 10 years (from 2014 to 2023). We selected studies that were published in English and focused on joint angle estimation, activity recognition, and exercise assessment. Vision-based approaches were the most common, accounting for 42% of studies. Wearable technology followed at approximately 37%, and pressure-sensing technology appeared in 21% of studies. Identified gaps include a lack of uniformity in reported performance metrics and evaluation methods, a need for cross-subject validation, inadequate testing with patients and older adults, restricted sets of exercises evaluated, and a scarcity of comprehensive datasets on lower limb exercises, especially those involving movements while lying down.

© The Author(s) 2024.","systematic review","Journal of Rehabilitation and Assistive Technologies Engineering","","10.1177/20556683241259256","https://consensus.app/papers/technological-advances-in-lowerlimb-telerehabilitation-ettefagh-fekr/db2613eac09e5d1b9578893099bc7d5f/"
"A systematic review of the applications of markerless motion capture (MMC) technology for clinical measurement in rehabilitation","Markerless motion capture (MMC) technology shows potential as an assessment tool and symptom detection in rehabilitation, with potential for early disease screening through artificial intelligence.","Winnie W. T. Lam, Yukming Tang, K. Fong",2023,163,"Background: Markerless motion capture (MMC) technology has been developed to avoid the need for body marker placement during motion tracking and analysis of human movement. Although researchers have long proposed the use of MMC technology in clinical measurement-identification and measurement of movement kinematics in a clinical population, its actual application is still in its preliminary stages. The benefits of MMC technology are also inconclusive with regard to its use in assessing patients' conditions. In this review we put a minor focus on the method's engineering components and sought primarily to determine the current application of MMC as a clinical measurement tool in rehabilitation.

Methods: A systematic computerized literature search was conducted in PubMed, Medline, CINAHL, CENTRAL, EMBASE, and IEEE. The search keywords used in each database were ""Markerless Motion Capture OR Motion Capture OR Motion Capture Technology OR Markerless Motion Capture Technology OR Computer Vision OR Video-based OR Pose Estimation AND Assessment OR Clinical Assessment OR Clinical Measurement OR Assess."" Only peer-reviewed articles that applied MMC technology for clinical measurement were included. The last search took place on March 6, 2023. Details regarding the application of MMC technology for different types of patients and body parts, as well as the assessment results, were summarized.

Results: A total of 65 studies were included. The MMC systems used for measurement were most frequently used to identify symptoms or to detect differences in movement patterns between disease populations and their healthy counterparts. Patients with Parkinson's disease (PD) who demonstrated obvious and well-defined physical signs were the largest patient group to which MMC assessment had been applied. Microsoft Kinect was the most frequently used MMC system, although there was a recent trend of motion analysis using video captured with a smartphone camera.

Conclusions: This review explored the current uses of MMC technology for clinical measurement. MMC technology has the potential to be used as an assessment tool as well as to assist in the detection and identification of symptoms, which might further contribute to the use of an artificial intelligence method for early screening for diseases. Further studies are warranted to develop and integrate MMC system in a platform that can be user-friendly and accurately analyzed by clinicians to extend the use of MMC technology in the disease populations.

© 2023. The Author(s).","systematic review","Journal of NeuroEngineering and Rehabilitation","1","10.1186/s12984-023-01186-9","https://consensus.app/papers/a-systematic-review-of-the-applications-of-markerless-lam-tang/6aa2b704d62c5fbb806b5963e50b50d1/"
"The Telemedicine Musculoskeletal Examination","Telemedicine can provide convenient, safe, and time-efficient care for musculoskeletal complaints, with guidelines for virtual physical examinations of the shoulder, hip, knee, ankle, and cervical and lumbar spine.","E. Laskowski, Shelby E. Johnson, R. Shelerud, Jason A. Lee, Amy E. Rabatin, Sherilyn W. Driscoll, Brittany J. Moore, M. Wainberg, Carmen M. Terzic",2020,130,"","other","Mayo Clinic Proceedings","1","10.1016/j.mayocp.2020.05.026","https://consensus.app/papers/the-telemedicine-musculoskeletal-examination-laskowski-johnson/fb0c1438fca15d0cba33da55c324f51f/"
"Telemedicine in the Era of COVID-19","Standardizing telemedicine protocols can maximize the benefit and efficiency of virtual orthopaedic examinations, aiding in triaging and managing common musculoskeletal conditions during the COVID-19 pandemic.","Miho J. Tanaka, L. Oh, S. Martin, E. Berkson",2020,221,"With the onset of the COVID-19 pandemic, the shifting of clinical care to telemedicine visits has been hastened. Because of current limitations in resources, many elective surgeons have been forced to venture into utilizing telemedicine, in which the standards for orthopaedic examinations have not previously been fully developed. We report our experience with protocols and methods to standardize these visits to maximize the benefit and efficiency of the virtual orthopaedic examination. At the time of scheduling, patients are asked to prepare for their virtual visit and are given a checklist. In addition to confirming audiovisual capabilities prior to the visit, patients are given specific instructions on camera positioning, body positioning, setting, and attire to improve the efficiency of the visit. During the examination, digital tools can be utilized as needed. In the setting of outpatient injury evaluations, a systematic virtual examination can aid in triaging and managing common musculoskeletal conditions. With the rapid incorporation of telehealth visits, as well as the unknown future with regard to the pandemic, the utilization and capabilities of telemedicine will continue to expand. Future directions include the development of validated, modified examination techniques and new technology that will allow for improved interactive physical examinations, as we rapidly move forward into the realm of telemedicine due to unexpected necessity.","","The Journal of Bone and Joint Surgery. American Volume","1","10.2106/jbjs.20.00609","https://consensus.app/papers/telemedicine-in-the-era-of-covid19-tanaka-oh/6e967fa68f2f5f4aa15a7ab4ce2bf784/"
